ID;TERMS (PT-NPT);RELATIONS;PT;MT
5645;FEI;USE;Fondul European de Investiţii;1006 Instituțiile Uniunii Europene și funcția publică europeană
c_d08207d1;FEIS;USE;Fondul european pentru investiții strategice;1021 finanțele Uniunii Europene
1002;FEITL;USE;finanțare pe termen lung;2426 investiţii şi finanţare
978;FEOGA;USE;Fondul European de Orientare și Garantare Agricolă;1021 finanțele Uniunii Europene
c_4e3beee2;FEPAM;USE;Fondul european pentru pescuit și afaceri maritime;1021 finanțele Uniunii Europene
c_dcc650ef;FIA;USE;fond de investiții alternative;2416 instituţii financiare şi de credit
312;FICR;USE;Crucea Roșie;7626 organizaţii neguvernamentale
991;FID;USE;Federația Internațională pentru Documentare;7626 organizaţii neguvernamentale
992;FIDA;USE;Fondul Internațional de Dezvoltare Agricolă;7606 ONU
1043;FMI;USE;Fondul Monetar Internațional;7606 ONU
6219;FRA;USE;Agenția pentru Drepturi Fundamentale a Uniunii Europene;1006 Instituțiile Uniunii Europene și funcția publică europeană
4056;FSE;USE;Fondul Social European;1021 finanțele Uniunii Europene
c_ee45cd99;FSI;USE;fond suveran de investiții;2416 instituţii financiare şi de credit
c_e548b67f;FSUE;USE;Fondul de solidaritate al Uniunii Europene;1021 finanțele Uniunii Europene
7220;FTAA;USE;Zona de Liber Schimb a Americilor;7616 organizaţii extraeuropene
1771;Falkland;USE;Insulele Falkland;7216 America
1771;Falkland;USE;Insulele Falkland;7241 ţări şi teritorii străine
987;Federația Internațională a Asociațiilor de Bibliotecari;USE;IFLA;7626 organizaţii neguvernamentale
312;Federația Internațională a Societăților de Cruce Roșie și Semilună Roșie;USE;Crucea Roșie;7626 organizaţii neguvernamentale
991;Federația Internațională de Informare și Documentare;USE;Federația Internațională pentru Documentare;7626 organizaţii neguvernamentale
991;Federația Internațională pentru Documentare;;;7626 organizaţii neguvernamentale
5876;Federația Rusă;USE;Rusia;7206 Europa
5876;Federația Rusă;USE;Rusia;7231 geografie economică
5876;Federația Rusă;USE;Rusia;7236 geografie politică
993;Fiji;;;7226 Asia şi Oceania
993;Fiji;;;7231 geografie economică
2368;Filipine;;;7226 Asia şi Oceania
2368;Filipine;;;7231 geografie economică
1019;Finlanda;;;7206 Europa
1019;Finlanda;;;7231 geografie economică
1019;Finlanda;;;7236 geografie politică
7881;Finlanda Occidentală;;;7211 regiuni ale statelor membre ale Uniunii Europene
6247;Finlanda Orientală;;;7211 regiuni ale statelor membre ale Uniunii Europene
6249;Finlanda de Nord;USE;Laponia;7211 regiuni ale statelor membre ale Uniunii Europene
6251;Finlanda de Sud;;;7211 regiuni ale statelor membre ale Uniunii Europene
3061;Flandra;;;7211 regiuni ale statelor membre ale Uniunii Europene
5637;Flevoland;;;7211 regiuni ale statelor membre ale Uniunii Europene
5644;Fondul Consiliul Europei pentru Refugiațti;USE;fonduri ale Consiliului Europei;7611 organizaţii europene
8549;Fondul European de Ajustare la Globalizare;;;4406 locuri de muncă
973;Fondul European de Cooperare Monetară;;;2406 relaţii monetare
4055;Fondul European de Dezvoltare;;;0811 politici de cooperare
1056;Fondul European de Dezvoltare Regională;;;1021 finanțele Uniunii Europene
450652;Fondul European de Garantare Agricolă;USE;FEGA;1021 finanțele Uniunii Europene
5645;Fondul European de Investiţii;;;1006 Instituțiile Uniunii Europene și funcția publică europeană
978;Fondul European de Orientare și Garantare Agricolă;;;1021 finanțele Uniunii Europene
992;Fondul Internațional de Dezvoltare Agricolă;;;7606 ONU
1058;Fondul Monetar European;;;2406 relaţii monetare
1043;Fondul Monetar Internațional;;;7606 ONU
1045;Fondul Națiunilor Unite pentru Activități Demografice;USE;Fondul Națiunilor Unite pentru Populație;7606 ONU
1045;Fondul Națiunilor Unite pentru Populație;;;7606 ONU
1022;Fondul Națiunilor Unite pentru copii;USE;Unicef;7606 ONU
2431;Fondul Națiunilor Unite pentru dezvoltarea de capital;USE;Programul Națiunilor Unite pentru dezvoltare;7606 ONU
2431;Fondul Națiunilor Unite pentru femei;USE;Programul Națiunilor Unite pentru dezvoltare;7606 ONU
4056;Fondul Social European;;;1021 finanțele Uniunii Europene
5644;Fondul de decontare al Consiliului Europei;USE;fonduri ale Consiliului Europei;7611 organizaţii europene
c_e548b67f;Fondul de solidaritate al Uniunii Europene;;;1021 finanțele Uniunii Europene
5644;Fondul de solidaritate pentru mobilitatea tinerilor;USE;fonduri ale Consiliului Europei;7611 organizaţii europene
1022;Fondul de urgență al Națiunilor Unite pentru copii;USE;Unicef;7606 ONU
450658;Fondul european agricol pentru dezvoltare rurală;USE;FEADR;1021 finanțele Uniunii Europene
c_d08207d1;Fondul european pentru investiții strategice;;;1021 finanțele Uniunii Europene
c_4e3beee2;Fondul european pentru pescuit și afaceri maritime;;;1021 finanțele Uniunii Europene
4375;Formosa;USE;Taiwan;7226 Asia şi Oceania
4375;Formosa;USE;Taiwan;7231 geografie economică
c_acf7832d;Forumul Caraibilor;USE;Cariforum;7616 organizaţii extraeuropene
23;Forumul Națiunilor Unite pentru păduri;USE;comisie tehnică ONU;7606 ONU
8402;Forumul Pacificului de Sud;USE;Forumul insulelor din Pacific;7616 organizaţii extraeuropene
7373;Forumul Social Mondial;USE;mișcare antiglobalizare;0431 politică şi securitate publică
c_acf7832d;Forumul caraib al statelor din Africa, Caraibi și Pacific;USE;Cariforum;7616 organizaţii extraeuropene
8402;Forumul insulelor din Pacific;;;7616 organizaţii extraeuropene
1308;Fosta Republică Democrată Germania;USE;Republica Democrată Germania;7236 geografie politică
5713;Fosta Republică Iugoslavă a Macedoniei;USE;Macedonia de Nord;7206 Europa
5713;Fosta Republică Iugoslavă a Macedoniei;USE;Macedonia de Nord;7231 geografie economică
5713;Fosta Republică Iugoslavă a Macedoniei;USE;Macedonia de Nord;7236 geografie politică
1089;Franche-Comté;;;7211 regiuni ale statelor membre ale Uniunii Europene
1085;Franța;;;7206 Europa
1085;Franța;;;7231 geografie economică
1085;Franța;;;7236 geografie politică
5352;Franța Centrală;USE;Centru-Val de Loire;7211 regiuni ale statelor membre ale Uniunii Europene
1101;Friesland;;;7211 regiuni ale statelor membre ale Uniunii Europene
1100;Friuli-Venezia Giulia;;;7211 regiuni ale statelor membre ale Uniunii Europene
8439;Frontex;;;1006 Instituțiile Uniunii Europene și funcția publică europeană
5642;Fundaţia Europeană de Formare;;;1006 Instituțiile Uniunii Europene și funcția publică europeană
3717;Fundaţia Europeană pentru Îmbunătăţirea Condiţiilor de Viaţă şi de Muncă;USE;Eurofound;1006 Instituțiile Uniunii Europene și funcția publică europeană
3717;Fundația Dublin;USE;Eurofound;1006 Instituțiile Uniunii Europene și funcția publică europeană
5644;Fundația Europeană pentru Tineret;USE;fonduri ale Consiliului Europei;7611 organizaţii europene
5930;Fâșia Gaza;USE;Palestina;7226 Asia şi Oceania
5930;Fâșia Gaza;USE;Palestina;7231 geografie economică
c_a02d5941;G20;;;7621 organizaţii mondiale
6115;GATS;;;2021 comerţ internaţional
1136;GATT;;;2021 comerţ internaţional
c_f53bfc88;GDD;USE;gestionarea drepturilor digitale;3236 informatică şi procesarea datelor
6852;GNSS;USE;navigație prin satelit;4811 organizarea transporturilor
6852;GPS;USE;navigație prin satelit;4811 organizarea transporturilor
447660;GSA;USE;Agenţia GNSS European;1006 Instituțiile Uniunii Europene și funcția publică europeană
433963;GWP;USE;încălzire globală;5216 degradarea mediului înconjurător
1124;Gabon;;;7221 Africa
1124;Gabon;;;7231 geografie economică
8531;Galați;;;7211 regiuni ale statelor membre ale Uniunii Europene
6852;Galileo;USE;navigație prin satelit;4811 organizarea transporturilor
1127;Galiția;;;7211 regiuni ale statelor membre ale Uniunii Europene
1128;Gambia;;;7221 Africa
1128;Gambia;;;7231 geografie economică
5930;Gaza;USE;Palestina;7226 Asia şi Oceania
5930;Gaza;USE;Palestina;7231 geografie economică
1209;Gelderland;;;7211 regiuni ale statelor membre ale Uniunii Europene
5652;Georgia;;;7206 Europa
5652;Georgia;;;7236 geografie politică
1771;Georgia de Sud;USE;Insulele Falkland;7216 America
1771;Georgia de Sud;USE;Insulele Falkland;7241 ţări şi teritorii străine
1318;Germania;;;7206 Europa
1318;Germania;;;7231 geografie economică
1318;Germania;;;7236 geografie politică
1308;Germania de Est;USE;Republica Democrată Germania;7236 geografie politică
1166;Ghana;;;7221 Africa
1166;Ghana;;;7231 geografie economică
1168;Gibraltar;;;7206 Europa
1168;Gibraltar;;;7241 ţări şi teritorii străine
8524;Giurgiu;;;7211 regiuni ale statelor membre ale Uniunii Europene
7818;Gorenjska;;;7211 regiuni ale statelor membre ale Uniunii Europene
7819;Goriska;;;7211 regiuni ale statelor membre ale Uniunii Europene
8535;Gorj;;;7211 regiuni ale statelor membre ale Uniunii Europene
7996;Gotland;;;7211 regiuni ale statelor membre ale Uniunii Europene
c_c44f1704;Grand Est;;;7211 regiuni ale statelor membre ale Uniunii Europene
1182;Grecia;;;7206 Europa
1182;Grecia;;;7231 geografie economică
1182;Grecia;;;7236 geografie politică
1183;Grecia Centrală;;;7211 regiuni ale statelor membre ale Uniunii Europene
7890;Grecia Occidentală;;;7211 regiuni ale statelor membre ale Uniunii Europene
1185;Grenada;;;7216 America
1185;Grenada;;;7231 geografie economică
1185;Grenada;;;7236 geografie politică
1188;Groenlanda;;;7216 America
1188;Groenlanda;;;7236 geografie politică
1189;Groningen;;;7211 regiuni ale statelor membre ale Uniunii Europene
1190;Grupul Andin;;;7616 organizaţii extraeuropene
4744;Grupul BAD;USE;Banca Africană de Dezvoltare;7616 organizaţii extraeuropene
4744;Grupul Băncii Africane de Dezvoltare;USE;Banca Africană de Dezvoltare;7616 organizaţii extraeuropene
4812;Grupul Băncii Mondiale;USE;Banca Mondială;7606 ONU
3676;Grupul Contadora;;;7616 organizaţii extraeuropene
1194;Grupul celor 10;;;7621 organizaţii mondiale
c_a02d5941;Grupul celor 20;USE;G20;7621 organizaţii mondiale
5656;Grupul celor 24;;;7621 organizaţii mondiale
3675;Grupul celor 77;;;7621 organizaţii mondiale
6114;Grupul celor mai industrializate 7 țări;USE;Grupul celor mai industrializate țări;7621 organizaţii mondiale
6114;Grupul celor mai industrializate țări;;;7621 organizaţii mondiale
6116;Grupul de la Rio;;;7616 organizaţii extraeuropene
434664;Grupul interguvernamental privind schimbările climatice;;;7606 ONU
1207;Guadelupe;;;7216 America
1207;Guadelupe;;;7241 ţări şi teritorii străine
1289;Guam;;;7226 Asia şi Oceania
1289;Guam;;;7231 geografie economică
1208;Guatemala;;;7216 America
1208;Guatemala;;;7231 geografie economică
1208;Guatemala;;;7236 geografie politică
451941;Guernsey ;;;7206 Europa
1216;Guineea;;;7221 Africa
1216;Guineea;;;7231 geografie economică
1218;Guineea Ecuatorială;;;7221 Africa
1218;Guineea Ecuatorială;;;7231 geografie economică
1217;Guineea Portugheză;USE;Guineea-Bissau;7221 Africa
1217;Guineea Portugheză;USE;Guineea-Bissau;7231 geografie economică
1217;Guineea-Bissau;;;7221 Africa
1217;Guineea-Bissau;;;7231 geografie economică
2110;Gulf Stream;USE;Oceanul Atlantic;5211 mediul înconjurător natural
1219;Guyana;;;7216 America
1219;Guyana;;;7231 geografie economică
1219;Guyana;;;7236 geografie politică
1220;Guyana Franceză;;;7216 America
1220;Guyana Franceză;;;7241 ţări şi teritorii străine
4342;Guyana Olandeză;USE;Suriname;7216 America
4342;Guyana Olandeză;USE;Suriname;7231 geografie economică
4342;Guyana Olandeză;USE;Suriname;7236 geografie politică
7992;Gävleborg;;;7211 regiuni ale statelor membre ale Uniunii Europene
8464;H5N1;USE;gripă aviară;5631 activitate agricolă
c_1137acd8;HDI;USE;dezvoltare umană;1606 politică economică
3248;HOBS;USE;servicii bancare electronice;2416 instituţii financiare şi de credit
1228;Haiti;;;7216 America
1228;Haiti;;;7231 geografie economică
1228;Haiti;;;7236 geografie politică
8000;Halland;;;7211 regiuni ale statelor membre ale Uniunii Europene
1230;Hamburg;;;7211 regiuni ale statelor membre ale Uniunii Europene
1230;Hamburg (orașul liber și hanseat);USE;Hamburg;7211 regiuni ale statelor membre ale Uniunii Europene
8502;Harghita;;;7211 regiuni ale statelor membre ale Uniunii Europene
c_bbd07d89;Hauts-de-France;;;7211 regiuni ale statelor membre ale Uniunii Europene
1237;Hawai;;;7226 Asia şi Oceania
1239;Hessen;;;7211 regiuni ale statelor membre ale Uniunii Europene
1239;Hessen (landul);USE;Hessen;7211 regiuni ale statelor membre ale Uniunii Europene
1253;Honduras;;;7216 America
1253;Honduras;;;7231 geografie economică
1253;Honduras;;;7236 geografie politică
4841;Hondurasul britanic;USE;Belize;7216 America
4841;Hondurasul britanic;USE;Belize;7231 geografie economică
4841;Hondurasul britanic;USE;Belize;7236 geografie politică
1254;Hong Kong;;;7226 Asia şi Oceania
1254;Hong Kong;;;7231 geografie economică
1254;Hong Kong (China);USE;Hong Kong;7226 Asia şi Oceania
1254;Hong Kong (China);USE;Hong Kong;7231 geografie economică
8279;Hovedstaden (regiune);;;7211 regiuni ale statelor membre ale Uniunii Europene
7841;Hradec Králové;;;7211 regiuni ale statelor membre ale Uniunii Europene
8519;Hunedoara;;;7211 regiuni ale statelor membre ale Uniunii Europene
3853;IATA;;;7626 organizaţii neguvernamentale
c_c4c48e5c;ICE;USE;Inițiativa cetățenească europeană;1016 construcţie europeană
450983;ICGEB;USE;Centrul Internațional pentru Inginerie Genetică și Biotehnologie;7606 ONU
8378;ICSID;USE;Centrul Internațional pentru Reglementarea Diferendelor privind Investițiile;7606 ONU
c_1137acd8;IDU;USE;dezvoltare umană;1606 politică economică
5354;IE;USE;Centrul Comun de Cercetare;1006 Instituțiile Uniunii Europene și funcția publică europeană
5354;IES;USE;Centrul Comun de Cercetare;1006 Instituțiile Uniunii Europene și funcția publică europeană
437422;IEVP;USE;Instrumentul european de vecinătate și parteneriat;1021 finanțele Uniunii Europene
987;IFLA;;;7626 organizaţii neguvernamentale
5354;IHCP;USE;Centrul Comun de Cercetare;1006 Instituțiile Uniunii Europene și funcția publică europeană
2130;ILO;USE;Organizația Internațională a Muncii;7606 ONU
2359;IMM;USE;întreprinderi mici și mijlocii;4011 categorii de societăţi comerciale
5249;INCB;USE;Biroul Internațional pentru Controlul Narcoticelor;7606 ONU
441001;INEA;USE;agenție executivă;1006 Instituțiile Uniunii Europene și funcția publică europeană
8382;INSTRAW;USE;Institutul Internațional de Cercetare și Formare pentru Promovarea Femeilor;7606 ONU
1461;INTAL;USE;Institutul de Integrare pentru America Latină;7616 organizaţii extraeuropene
7132;IPA;USE;asistența de preaderare;1016 construcţie europeană
434664;IPCC;USE;Grupul interguvernamental privind schimbările climatice;7606 ONU
5354;IPSC;USE;Centrul Comun de Cercetare;1006 Instituțiile Uniunii Europene și funcția publică europeană
5354;IPTS;USE;Centrul Comun de Cercetare;1006 Instituțiile Uniunii Europene și funcția publică europeană
3425;IRBM;USE;rachetă balistică;0821 apărare
c_7bf10a38;IRENA;USE;Agenția Internațională pentru Energie Regenerabilă;7621 organizaţii mondiale
5354;IRMM;USE;Centrul Comun de Cercetare;1006 Instituțiile Uniunii Europene și funcția publică europeană
1510;ISO;;;7626 organizaţii neguvernamentale
7132;ISPA;USE;asistența de preaderare;1016 construcţie europeană
5354;ITU;USE;Centrul Comun de Cercetare;1006 Instituțiile Uniunii Europene și funcția publică europeană
8525;Ialomița;;;7211 regiuni ale statelor membre ale Uniunii Europene
8507;Iași;;;7211 regiuni ale statelor membre ale Uniunii Europene
1288;Ile de France;;;7211 regiuni ale statelor membre ale Uniunii Europene
434938;Implementare în comun;;;5206 politica mediului înconjurător
1337;Incoterms termenii internaționali de comerț;;;2021 comerţ internaţional
1338;India;;;7226 Asia şi Oceania
1338;India;;;7231 geografie economică
2024;Indiile de Vest Britanice;;;7216 America
2032;Indiile de Vest Franceze;;;7216 America
1355;Indonezia;;;7226 Asia şi Oceania
1355;Indonezia;;;7231 geografie economică
c_04ae3ba8;InfoSec;USE;securitatea sistemelor informatice;3236 informatică şi procesarea datelor
c_c4c48e5c;Inițiativa cetățenească (UE);USE;Inițiativa cetățenească europeană;1016 construcţie europeană
c_c4c48e5c;Inițiativa cetățenească europeană;;;1016 construcţie europeană
3448;Inițiativa de Apărare Strategică;USE;apărare strategică;0821 apărare
6327;Institutul European de Informare și Comunicare Forestieră;;;5636 silvicultură
447795;Institutul European de Inovare şi Tehnologie;;;1006 Instituțiile Uniunii Europene și funcția publică europeană
6095;Institutul European de Standardizare în Telecomunicații;USE;ETSI;7611 organizaţii europene
3718;Institutul European din Florența;USE;Institutul Universitar European;7611 organizaţii europene
5679;Institutul European pentru Administrație Publică;;;7611 organizaţii europene
447756;Institutul European pentru Egalitatea de şanse între Femei şi Bărbaţi;;;1006 Instituțiile Uniunii Europene și funcția publică europeană
7953;Institutul European pentru Studii de Securitate;;;1016 construcţie europeană
450898;Institutul Forestier European;;;7611 organizaţii europene
8382;Institutul Internațional de Cercetare și Formare pentru Promovarea Femeilor;;;7606 ONU
1286;Institutul Internațional pentru Planificarea Învățământului;;;7606 ONU
8381;Institutul Națiunilor Unite pentru Cercetare în Domeniul Dezarmării;;;7606 ONU
4611;Institutul Națiunilor Unite pentru Formare și Cercetare;USE;Institutul ONU pentru Formare și Cercetare;7606 ONU
4611;Institutul ONU pentru Formare și Cercetare;;;7606 ONU
1449;Institutul Sindical European;;;7611 organizaţii europene
1449;Institutul Sindical European;;;7626 organizaţii neguvernamentale
1449;Institutul Sindical European pentru Cercetare, Educație și Sănătate și Securitate;USE;Institutul Sindical European;7611 organizaţii europene
1449;Institutul Sindical European pentru Cercetare, Educație și Sănătate și Securitate;USE;Institutul Sindical European;7626 organizaţii neguvernamentale
3718;Institutul Universitar European;;;7611 organizaţii europene
1507;Institutul de Cercetare al Națiunilor Unite pentru Dezvoltare Socială;;;7606 ONU
1461;Institutul de Integrare pentru America Latină;;;7616 organizaţii extraeuropene
8380;Institutul de cercetare și formare (al Națiunilor Unite);;;7606 ONU
8383;Institutul interregional al Națiunilor Unite pentru cercetare în domeniul criminalității și justiției;;;7606 ONU
5354;Institutul pentru Elemente Transuranice;USE;Centrul Comun de Cercetare;1006 Instituțiile Uniunii Europene și funcția publică europeană
5354;Institutul pentru Energie;USE;Centrul Comun de Cercetare;1006 Instituțiile Uniunii Europene și funcția publică europeană
5354;Institutul pentru Materiale și Măsurători de Referinţă;USE;Centrul Comun de Cercetare;1006 Instituțiile Uniunii Europene și funcția publică europeană
5354;Institutul pentru Mediu și Durabilitate;USE;Centrul Comun de Cercetare;1006 Instituțiile Uniunii Europene și funcția publică europeană
5354;Institutul pentru Protecția și Securitatea Cetățenilor;USE;Centrul Comun de Cercetare;1006 Instituțiile Uniunii Europene și funcția publică europeană
5354;Institutul pentru Studii Tehnologice Prospective;USE;Centrul Comun de Cercetare;1006 Instituțiile Uniunii Europene și funcția publică europeană
5354;Institutul pentru Sănătatea și Protecţia Consumatorilor;USE;Centrul Comun de Cercetare;1006 Instituțiile Uniunii Europene și funcția publică europeană
437422;Instrumentul european de vecinătate și parteneriat;;;1021 finanțele Uniunii Europene
7132;Instrumentul pentru politici structurale de preaderare;USE;asistența de preaderare;1016 construcţie europeană
3830;Insula Ascension;USE;Sfânta Elena;7221 Africa
3830;Insula Ascension;USE;Sfânta Elena;7241 ţări şi teritorii străine
5026;Insula Borneo;;;7226 Asia şi Oceania
1295;Insula Corfu;USE;Insulele Ioniene;7211 regiuni ale statelor membre ale Uniunii Europene
1289;Insula Guam;USE;Guam;7226 Asia şi Oceania
1289;Insula Guam;USE;Guam;7231 geografie economică
5026;Insula Kalimantan;USE;Insula Borneo;7226 Asia şi Oceania
3381;Insula Man;;;7206 Europa
1841;Insula Mauritius;USE;Mauritius;7221 Africa
1841;Insula Mauritius;USE;Mauritius;7231 geografie economică
6279;Insula Norfolk;;;7226 Asia şi Oceania
3830;Insula Sfânta Elena;USE;Sfânta Elena;7221 Africa
3830;Insula Sfânta Elena;USE;Sfânta Elena;7241 ţări şi teritorii străine
6252;Insulele Aland;USE;Aland;7211 regiuni ale statelor membre ale Uniunii Europene
6252;Insulele Aland;USE;Aland;7236 geografie politică
3386;Insulele Baleare;;;7211 regiuni ale statelor membre ale Uniunii Europene
4172;Insulele Canare;;;7211 regiuni ale statelor membre ale Uniunii Europene
5259;Insulele Caraibe;;;7216 America
1292;Insulele Caroline;;;7226 Asia şi Oceania
1291;Insulele Cayman;;;7216 America
1291;Insulele Cayman;;;7241 ţări şi teritorii străine
1290;Insulele Channel;;;7206 Europa
33;Insulele Comore;USE;Comore;7221 Africa
33;Insulele Comore;USE;Comore;7231 geografie economică
33;Insulele Comore;USE;Comore;7236 geografie politică
205;Insulele Cook;;;7226 Asia şi Oceania
205;Insulele Cook;;;7231 geografie economică
4583;Insulele Ellis;USE;Tuvalu;7226 Asia şi Oceania
4583;Insulele Ellis;USE;Tuvalu;7231 geografie economică
1771;Insulele Falkland;;;7216 America
1771;Insulele Falkland;;;7241 ţări şi teritorii străine
1294;Insulele Feroe;;;7206 Europa
1294;Insulele Feroe;;;7236 geografie politică
993;Insulele Fiji;USE;Fiji;7226 Asia şi Oceania
993;Insulele Fiji;USE;Fiji;7231 geografie economică
1559;Insulele Gilbert;USE;Kiribati;7226 Asia şi Oceania
1559;Insulele Gilbert;USE;Kiribati;7231 geografie economică
1237;Insulele Hawai;USE;Hawai;7226 Asia şi Oceania
1295;Insulele Ioniene;;;7211 regiuni ale statelor membre ale Uniunii Europene
2362;Insulele Leeward;USE;Antilele Mici;7216 America
1768;Insulele Maldive;USE;Maldive;7226 Asia şi Oceania
1768;Insulele Maldive;USE;Maldive;7231 geografie economică
1296;Insulele Mariane;;;7226 Asia şi Oceania
451462;Insulele Mariane de Nord;USE;Marianele de Nord;7226 Asia şi Oceania
451462;Insulele Mariane de Nord;USE;Marianele de Nord;7231 geografie economică
3410;Insulele Marshall;;;7226 Asia şi Oceania
3410;Insulele Marshall;;;7231 geografie economică
3858;Insulele Navigatorilor;USE;Samoa;7226 Asia şi Oceania
3858;Insulele Navigatorilor;USE;Samoa;7231 geografie economică
3416;Insulele Pitcairn;;;7226 Asia şi Oceania
3416;Insulele Pitcairn;;;7231 geografie economică
3416;Insulele Pitcairn;;;7241 ţări şi teritorii străine
8374;Insulele Saint-Paul și Amsterdam;USE;Teritoriile australe și antarctice franceze;7241 ţări şi teritorii străine
1771;Insulele Sandwich de Sud;USE;Insulele Falkland;7216 America
1771;Insulele Sandwich de Sud;USE;Insulele Falkland;7241 ţări şi teritorii străine
4148;Insulele Seychelle;USE;Seychelles;7221 Africa
4148;Insulele Seychelle;USE;Seychelles;7231 geografie economică
3857;Insulele Solomon;;;7226 Asia şi Oceania
3857;Insulele Solomon;;;7231 geografie economică
1298;Insulele Turks și Caicos;;;7216 America
1298;Insulele Turks și Caicos;;;7241 ţări şi teritorii străine
1299;Insulele Virgine Britanice;;;7216 America
1299;Insulele Virgine Britanice;;;7241 ţări şi teritorii străine
3406;Insulele Virgine ale Statelor Unite;;;7216 America
2362;Insulele Windward;USE;Antilele Mici;7216 America
4171;Insulele din Marea Egee;;;7211 regiuni ale statelor membre ale Uniunii Europene
1479;Internaţională Socialistă;;;0406 conjunctură politică
1478;Internaționala Muncitorească;;;0406 conjunctură politică
5688;Interpol;;;7621 organizaţii mondiale
c_2a1a9fdc;Interreg;USE;cooperare teritorială europeană;1616 regiuni şi politică regională
6177;Intranet;;;3226 comunicaţii
1532;Iordania;;;7226 Asia şi Oceania
1532;Iordania;;;7231 geografie economică
1532;Iordania;;;7236 geografie politică
1500;Irak;;;7226 Asia şi Oceania
1500;Irak;;;7231 geografie economică
1500;Irak;;;7236 geografie politică
1501;Iran;;;7226 Asia şi Oceania
1501;Iran;;;7231 geografie economică
1501;Iran;;;7236 geografie politică
1502;Irian Jaya;;;7226 Asia şi Oceania
1504;Irlanda;;;7206 Europa
1504;Irlanda;;;7231 geografie economică
1504;Irlanda;;;7236 geografie politică
1505;Irlanda de Nord;;;7206 Europa
1504;Irlanda de Sud;USE;Irlanda;7206 Europa
1504;Irlanda de Sud;USE;Irlanda;7231 geografie economică
1504;Irlanda de Sud;USE;Irlanda;7236 geografie politică
c_3a2df4eb;Islamul politic;;;0406 conjunctură politică
1509;Islanda;;;7206 Europa
1509;Islanda;;;7231 geografie economică
1509;Islanda;;;7236 geografie politică
1518;Israel;;;7226 Asia şi Oceania
1518;Israel;;;7231 geografie economică
1519;Italia;;;7206 Europa
1519;Italia;;;7231 geografie economică
1519;Italia;;;7236 geografie politică
4778;Iugoslavia;;;7236 geografie politică
6222;JAI;USE;spațiu de libertate, securitate și justiție;1016 construcţie europeană
3452;JOAC;USE;politică europeană de armament;0821 apărare
5354;JRC;USE;Centrul Comun de Cercetare;1006 Instituțiile Uniunii Europene și funcția publică europeană
c_46e54685;Jadranska Hrvatska;USE;Croația Adriatică;7211 regiuni ale statelor membre ale Uniunii Europene
1639;Jamahiria Arabă Libiană;USE;Libia;7221 Africa
1639;Jamahiria Arabă Libiană;USE;Libia;7231 geografie economică
1639;Jamahiria Arabă Libiană;USE;Libia;7236 geografie politică
1522;Jamaica;;;7216 America
1522;Jamaica;;;7231 geografie economică
1522;Jamaica;;;7236 geografie politică
7989;Jamtland;;;7211 regiuni ale statelor membre ale Uniunii Europene
1524;Japonia;;;7226 Asia şi Oceania
1524;Japonia;;;7231 geografie economică
1526;Java;;;7226 Asia şi Oceania
451991;Jersey;;;7206 Europa
3032;Jurnal Oficial al Uniunii Europene;;;3221 documentare
7993;Jönköping;;;7211 regiuni ale statelor membre ale Uniunii Europene
7995;Kalmar;;;7211 regiuni ale statelor membre ale Uniunii Europene
1555;Kampuchia;USE;Cambodgia;7226 Asia şi Oceania
1555;Kampuchia;USE;Cambodgia;7231 geografie economică
7842;Karlovy Vary;;;7211 regiuni ale statelor membre ale Uniunii Europene
7870;Kaunas;;;7211 regiuni ale statelor membre ale Uniunii Europene
5693;Kazahstan;;;7226 Asia şi Oceania
5693;Kazahstan;;;7236 geografie politică
1557;Kenya;;;7221 Africa
1557;Kenya;;;7231 geografie economică
8374;Kerguelen;USE;Teritoriile australe și antarctice franceze;7241 ţări şi teritorii străine
1559;Kiribati;;;7226 Asia şi Oceania
1559;Kiribati;;;7231 geografie economică
7871;Klaipeda;;;7211 regiuni ale statelor membre ale Uniunii Europene
c_d4ca9a6c;Kontinentalna Hrvatska;USE;Croația Continentală;7211 regiuni ale statelor membre ale Uniunii Europene
7821;Koroška;;;7211 regiuni ale statelor membre ale Uniunii Europene
5695;Kosovo;;;7206 Europa
7198;Kosrae;USE;Statele Federale ale Microneziei;7226 Asia şi Oceania
7198;Kosrae;USE;Statele Federale ale Microneziei;7231 geografie economică
7994;Kronoberg;;;7211 regiuni ale statelor membre ale Uniunii Europene
3500;Kurdistan;USE;problema Kurdistanului;0816 securitate internațională
7866;Kurzeme;;;7211 regiuni ale statelor membre ale Uniunii Europene
1560;Kuweit;;;7226 Asia şi Oceania
1560;Kuweit;;;7231 geografie economică
1560;Kuweit;;;7236 geografie politică
5694;Kârgâzstan;;;7226 Asia şi Oceania
5694;Kârgâzstan;;;7236 geografie politică
1094;LAFTA;USE;ALADI;7616 organizaţii extraeuropene
1094;LAIIA;USE;ALADI;7616 organizaţii extraeuropene
6161;LECE;USE;Liga Europeană pentru Cooperare Economică;7611 organizaţii europene
6161;LECE;USE;Liga Europeană pentru Cooperare Economică;7626 organizaţii neguvernamentale
c_7951978e;LMR;USE;reziduu de medicament;2841 sănătate
c_a17a2156;LOD;USE;rețea semantică;3226 comunicaţii
5365;Laboratorul European pentru Fizica Particulelor;USE;CERN;7611 organizaţii europene
1583;Languedoc-Roussillon;;;7211 regiuni ale statelor membre ale Uniunii Europene
1584;Laos;;;7226 Asia şi Oceania
